
--- EPHEMERIDES REPORT ---
Generated on: 2026-04-21 10:06:33
Start Date: 1000-06-21
End Date: 2000-06-21
Step Size: 10 years
--------------------------------------

PLANET: MERCURY
Date         | Time       | RA           | Dec          | Dist         | Elongation
1910-06-21   | 00:00:00   | 03h09m58s    | 15°47'41"    | 0.01 AU      | 39.399°
1920-06-21   | 00:00:00   | 05h39m59s    | 23°31'58"    | 0.02 AU      | 3.924°
1930-06-21   | 00:00:00   | 08h16m50s    | 21°23'06"    | 0.01 AU      | 32.689°
1940-06-21   | 00:00:00   | 06h38m32s    | 21°41'32"    | 0.00 AU      | 9.580°
1950-06-21   | 00:00:00   | 03h20m24s    | 16°38'17"    | 0.01 AU      | 37.044°
1960-06-21   | 00:00:00   | 05h54m39s    | 23°45'59"    | 0.02 AU      | 0.911°
1970-06-21   | 00:00:00   | 08h28m40s    | 20°46'18"    | 0.01 AU      | 35.231°
1980-06-21   | 00:00:00   | 05h22m05s    | 20°44'59"    | 0.00 AU      | 8.956°
1990-06-21   | 00:00:00   | 03h31m35s    | 17°29'15"    | 0.01 AU      | 34.529°
2000-06-21   | 00:00:00   | 06h09m21s    | 23°54'36"    | 0.02 AU      | 2.278°

PLANET: MARS
Date         | Time       | RA           | Dec          | Dist         | Elongation
--------------------------------------------------------------------------------
1000-06-21   | 00:00:00   | 10h20m04s    | 09°43'10"    | 0.02 AU      | 63.885°
1010-06-21   | 00:00:00   | 23h18m44s    | -06°55'20"   | 0.01 AU      | 101.208°
1020-06-21   | 00:00:00   | 05h07m58s    | 23°54'53"    | 0.02 AU      | 11.494°
1030-06-21   | 00:00:00   | 09h35m48s    | 14°10'07"    | 0.02 AU      | 52.456°
1040-06-21   | 00:00:00   | 20h48m56s    | -22°27'25"   | 0.01 AU      | 140.957°
1050-06-21   | 00:00:00   | 04h24m07s    | 22°30'26"    | 0.02 AU      | 21.374°
1060-06-21   | 00:00:00   | 08h55m39s    | 17°36'13"    | 0.02 AU      | 41.521°
1070-06-21   | 00:00:00   | 16h31m37s    | -26°56'39"   | 0.01 AU      | 160.257°
1080-06-21   | 00:00:00   | 03h41m55s    | 20°20'12"    | 0.02 AU      | 32.112°
1090-06-21   | 00:00:00   | 08h13m58s    | 20°27'41"    | 0.02 AU      | 31.537°
1100-06-21   | 00:00:00   | 13h51m27s    | -15°00'48"   | 0.01 AU      | 121.954°
1110-06-21   | 00:00:00   | 02h51m58s    | 16°47'37"    | 0.02 AU      | 43.231°
1120-06-21   | 00:00:00   | 07h32m35s    | 22°32'59"    | 0.03 AU      | 21.968°
1130-06-21   | 00:00:00   | 12h27m43s    | -05°15'38"   | 0.01 AU      | 99.509°
1140-06-21   | 00:00:00   | 02h04m56s    | 12°29'59"    | 0.02 AU      | 56.072°
1150-06-21   | 00:00:00   | 06h51m07s    | 23°52'24"    | 0.03 AU      | 12.636°
1160-06-21   | 00:00:00   | 11h30m28s    | 01°50'20"    | 0.01 AU      | 82.871°
1170-06-21   | 00:00:00   | 01h09m14s    | 06°26'02"    | 0.01 AU      | 70.803°
1180-06-21   | 00:00:00   | 06h12m05s    | 24°24'26"    | 0.03 AU      | 3.147°
1190-06-21   | 00:00:00   | 10h41m08s    | 07°39'53"    | 0.02 AU      | 69.553°
1200-06-21   | 00:00:00   | 00h02m27s    | -01°48'37"   | 0.01 AU      | 90.067°
1210-06-21   | 00:00:00   | 05h29m21s    | 24°12'19"    | 0.02 AU      | 6.557°
1220-06-21   | 00:00:00   | 09h58m26s    | 12°14'37"    | 0.02 AU      | 57.400°
1230-06-21   | 00:00:00   | 22h12m42s    | -15°01'10"   | 0.01 AU      | 119.844°
1240-06-21   | 00:00:00   | 04h48m32s    | 23°14'41"    | 0.02 AU      | 16.593°
1250-06-21   | 00:00:00   | 09h15m50s    | 16°11'12"    | 0.02 AU      | 46.625°
1260-06-21   | 00:00:00   | 18h30m02s    | -28°39'22"   | 0.00 AU      | 171.737°
1270-06-21   | 00:00:00   | 04h03m26s    | 21°20'04"    | 0.02 AU      | 26.917°
1280-06-21   | 00:00:00   | 08h36m55s    | 19°10'03"    | 0.02 AU      | 36.199°
1290-06-21   | 00:00:00   | 14h49m15s    | -20°23'09"   | 0.01 AU      | 135.770°
1300-06-21   | 00:00:00   | 03h16m47s    | 18°25'49"    | 0.02 AU      | 37.986°
1310-06-21   | 00:00:00   | 07h53m18s    | 21°43'10"    | 0.02 AU      | 26.905°
1320-06-21   | 00:00:00   | 13h01m51s    | -09°07'24"   | 0.01 AU      | 107.920°
1330-06-21   | 00:00:00   | 02h27m55s    | 14°25'06"    | 0.02 AU      | 50.093°
